binary,given_name,surname,date_of_birth,phone_number,email,address,city,state,zipcode,target,multicollinearity 1,random label num 13,semi_constant_2,duplicate_2,random label num 3,correlated w target 2,outliers 1,min max scaling,uniform corr 1,duplicate_1,informative_1,constant_1,pd qcut3,random choice 4,semi_constant_1,constant_2,informative_2,uniform corr 2,random choice 7,multicollinearity 2,random choice 2,corr_feature_class,standard scaling,multicollinearity 3,pd qcut2,pd qcut1,outliers 2,multicollinearity 4,correlated w target 1,class
binary_1,Melanie,Wiley,1975-06-30,+1-327-961-8714x831,ricky66@example.net,,,,,-0.9042236742875387,1.8600350444596114,label num hi 12,q_const_0,-0.6638599972813359,,-2.8107405104872614,-0.2050575305108125,582.5189512677293,0.26810495316605865,-0.9991017824896424,-0.9991017824896424,constant_value,G4,West,q_const_0,constant_value,-0.6638599972813359,,Saturday,2.468074188976188,Rand Choice 1,0.1296605369761663,52653.25778919647,-2.0544752029483924,Q2,Low,,-1.6156945416199326,,1
binary_1,Jessica,Carlson,,(499)902-2350,nathan33@example.net,4365 James Mountains Suite 097,New Jesus,,12898,2.324369783092482,0.9762619586901828,label num hi 12,q_const_0,1.153596854135379,label num lo 3,2.7663049769951185,,338.0112042592252,,1.2466861830450993,1.2466861830450993,constant_value,,East,q_const_0,constant_value,1.153596854135379,0.8308423545854572,Friday,2.177799022524144,Rand Choice 2,5.864357559340387,57448.60175133947,-1.541809621964751,Q3,High,6.773327627756215,-1.07349730836293,0.4768060924653408,1
binary_2,Joseph,,,(989)787-0734x1394,sarah47@example.com,065 Green Underpass Apt. 338,West Austin,MI,46908,1.7782165547025084,0.07843351613936128,label num hi 13,q_const_0,0.8593974662590766,label num lo 2,2.054611660822792,,193.16940173908472,0.5520025122499195,0.9627768269601935,0.9627768269601935,constant_value,G5,East,q_const_0,constant_value,0.8593974662590766,,Saturday,0.661740416675903,Rand Choice 2,,,-1.5179760814447636,Q3,,5.746388532921344,-1.9095083413945437,,1
binary_1,Carrie,Martin,1964-07-24,,brownmelvin@example.com,3200 Marc Road,,TN,17502,5.451234575139656,-0.3955056122247942,label num hi 11,q_const_0,2.0336452879154674,label num lo 3,5.348208737650253,,344.7141621580118,0.5920629878587317,-2.9574409509433037,-2.9574409509433037,constant_value,,North,q_const_0,constant_value,2.0336452879154674,0.666937947603012,Friday,,Rand Choice 1,4.32258835425541,62350.32884163269,0.508922613504318,Q4,,0.3342830734293112,0.21407535569506392,,1
,Jessica,Daniel,1999-06-22,646.997.0497,christophermurray@example.net,50319 Galvan Rapid Apt. 185,,SC,,2.1539258469951807,0.8559991522433291,label num hi 12,q_const_0,1.05944863351561,label num lo 1,2.8890179604492445,,324.6741309405758,0.8274281330583175,1.1411652716579705,1.1411652716579705,constant_value,,West,q_const_0,constant_value,1.05944863351561,0.5308801274227127,Friday,1.3128135627417645,Rand Choice 1,,,1.3132793264698779,,High,2.658143536474955,1.1404709421650103,,1
,Nicole,Griffith,1927-03-27,001-251-422-3384,scottmoreno@example.net,,,,,4.626787069235546,-0.9425520470222943,label num hi 9,q_const_0,2.399635889224372,label num lo 2,6.885604439805736,1.5191826187145552,354.968670935577,0.7911776922552816,2.485477863898728,2.485477863898728,constant_value,,South,q_const_0,constant_value,2.399635889224372,,Saturday,-0.05269393232483996,Rand Choice 2,1.3760032864706262,52562.43263590068,0.4391746189629436,,High,1.5025932595287768,0.10626209176716467,,1
,Ryan,Lyons,2010-08-01,(413)592-8764x1601,westmario@example.org,202 Emily Square,,FL,21332,-1.187224231921867,,label num hi 3,q_const_0,-0.747560845179044,,2.2345859341043046,,327.86766525250715,,-0.6479636736717482,-0.6479636736717482,constant_value,G3,North,q_const_0,constant_value,-0.747560845179044,,,0.4563403175946732,Rand Choice 2,2.9543133655948806,36794.567575743036,,,,4.327467627464681,-0.08396855219582242,,0
binary_2,Jerry,Bennett,1924-03-16,(794)655-1005,josephschultz@example.org,835 Adams Ville,North Ashley,GU,62283,-1.266374292198878,1.034290404712649,label num hi 5,q_const_0,-0.8182224427035356,label num lo 3,-2.8526633258186918,,514.3267878380626,0.26391945084394575,-0.8922328125534437,-0.8922328125534437,constant_value,G3,East,q_const_0,constant_value,-0.8182224427035356,,Saturday,0.2531349696484188,Rand Choice 1,0.9295579915238306,,-0.46551824725478963,,Low,1.5056238635558543,-0.28143858137117056,,0
binary_2,Jon,,2006-06-05,606.862.1248x040,katelyn16@example.com,40074 Cory Mountain,,WI,49690,0.24111056261580832,-1.1985429107328691,label num hi 10,q_const_0,-0.09154666780661158,label num lo 3,-2.0423535079700477,,331.71208884181027,0.30240836292407497,-0.7273359834485558,-0.7273359834485558,constant_value,,,q_const_0,constant_value,-0.09154666780661158,0.4449100741846322,Friday,-0.43694997941357583,Rand Choice 2,-2.3918903332311627,38845.05486903856,-0.7635972785547256,Q3,High,,-0.9181793959047616,,0
,Alicia,Beltran,1992-08-23,7663155393,gerald35@example.net,296 Katie Unions,Longfurt,VI,00744,-3.935564389564147,1.0682803224823338,label num hi 2,q_const_0,-1.8069333466532713,,-1.265316304632808,,399.21383658435474,,0.9753643211025785,0.9753643211025785,constant_value,G1,West,q_const_0,constant_value,-1.8069333466532713,,Wednesday,0.7464926678962073,Rand Choice 2,,33927.46131871226,-0.01316098974552669,,,0.636606844495855,-0.09488639553562535,,0
